GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Type Introspection Base Utilities,edu.iu.type.base,FilteringClassLoader,0,62,0,14,0,18,0,9,0,2
IU Type Introspection Base Utilities,edu.iu.type.base,TemporaryFile.new Object() {...},0,3,0,0,0,1,0,1,0,1
IU Type Introspection Base Utilities,edu.iu.type.base,ModularClassLoader,0,748,0,86,0,157,0,68,0,25
IU Type Introspection Base Utilities,edu.iu.type.base,CloseableModuleFinder.Ref,0,53,0,8,0,17,0,7,0,3
IU Type Introspection Base Utilities,edu.iu.type.base,CloseableModuleFinder,0,109,0,12,0,23,0,10,0,4
IU Type Introspection Base Utilities,edu.iu.type.base,ModularClassLoader.new AutoCloseable() {...},0,14,0,2,0,5,0,3,0,2
IU Type Introspection Base Utilities,edu.iu.type.base,ModularClassLoader.new Enumeration() {...},0,18,0,0,0,3,0,3,0,3
IU Type Introspection Base Utilities,edu.iu.type.base,TemporaryFile,0,321,1,29,0,78,1,30,0,16
IU Type Introspection Base Utilities,edu.iu.type.base,ModularClassLoader.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Type Introspection Base Utilities,edu.iu.type.base,ModularClassLoader.new BiPredicate() {...},0,14,0,0,0,4,0,2,0,2
IU Type Introspection Base Utilities,edu.iu.type.base,ModularClassLoader.new ModularClassLoader() {...},0,38,0,0,0,3,0,4,0,4
