GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Type Introspection API,edu.iu.type.spi,TypeImplementation,0,9,0,0,0,2,0,1,0,1
IU Type Introspection API,edu.iu.type,IuParameterizedElement,0,6,0,0,0,1,0,1,0,1
IU Type Introspection API,edu.iu.type,IuProperty,0,101,1,31,0,19,1,21,0,6
IU Type Introspection API,edu.iu.type,IuExecutableKey,0,320,0,38,0,72,0,29,0,10
IU Type Introspection API,edu.iu.type,IuType,0,404,0,66,0,87,0,53,0,20
IU Type Introspection API,edu.iu.type,IuTypeKey,0,477,0,56,0,95,0,42,0,14
IU Type Introspection API,edu.iu.type,IuReferenceKind,0,134,0,0,0,21,0,5,0,5
IU Type Introspection API,edu.iu.type,IuExecutable,0,6,0,0,0,1,0,1,0,1
IU Type Introspection API,edu.iu.type,IuTypeKey.Kind,0,33,0,0,0,6,0,1,0,1
IU Type Introspection API,edu.iu.type,IuComponentVersion.new IuComponentVersion() {...},0,93,0,14,0,16,0,15,0,8
IU Type Introspection API,edu.iu.type,IuAnnotatedElement,0,49,0,8,0,9,0,8,0,4
IU Type Introspection API,edu.iu.type,IuComponent.Kind,0,52,0,0,0,11,0,4,0,4
IU Type Introspection API,edu.iu.type,DefaultInterceptor.Scope,0,21,0,0,0,4,0,1,0,1
IU Type Introspection API,edu.iu.type,IuComponentVersion,0,157,0,32,0,46,0,20,0,4
IU Type Introspection API,edu.iu.type,IuComponent,0,5,0,0,0,1,0,1,0,1
