GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Crypto and PKI Utilities,edu.iu.crypt,EphemeralKeys,0,116,0,8,0,29,0,14,0,10
IU Crypto and PKI Utilities,edu.iu.crypt,WebCryptoHeader,0,186,0,26,0,34,0,20,0,7
IU Crypto and PKI Utilities,edu.iu.crypt,PemEncoded,0,418,0,32,0,81,0,44,0,28
IU Crypto and PKI Utilities,edu.iu.crypt,WebKey,0,560,0,110,0,113,0,78,0,23
IU Crypto and PKI Utilities,edu.iu.crypt,WebCertificateReference,0,84,0,16,0,24,0,15,0,7
IU Crypto and PKI Utilities,edu.iu.crypt,WebSignedPayload,0,37,0,4,0,12,0,4,0,2
IU Crypto and PKI Utilities,edu.iu.crypt,WebKey.Algorithm,0,993,0,0,0,73,0,6,0,6
IU Crypto and PKI Utilities,edu.iu.crypt,WebEncryption.Encryption,0,101,0,0,0,15,0,5,0,5
IU Crypto and PKI Utilities,edu.iu.crypt,WebEncryption,0,38,0,0,0,8,0,6,0,6
IU Crypto and PKI Utilities,edu.iu.crypt,WebSignature,0,5,0,0,0,1,0,1,0,1
IU Crypto and PKI Utilities,edu.iu.crypt,WebSignature.Builder,0,12,0,0,0,2,0,2,0,2
IU Crypto and PKI Utilities,edu.iu.crypt,WebKey.Type,0,182,0,12,0,29,0,13,0,7
IU Crypto and PKI Utilities,edu.iu.crypt,WebKey.Use,0,53,0,0,0,9,0,6,0,6
IU Crypto and PKI Utilities,edu.iu.crypt,PemEncoded.new Iterator() {...},0,204,0,20,0,36,0,13,0,3
IU Crypto and PKI Utilities,edu.iu.crypt,WebEncryption.Builder,0,12,0,0,0,2,0,2,0,2
IU Crypto and PKI Utilities,edu.iu.crypt,WebEncryptionRecipient.Builder,0,15,0,0,0,3,0,3,0,3
IU Crypto and PKI Utilities,edu.iu.crypt,PemEncoded.KeyType,0,27,0,0,0,5,0,1,0,1
IU Crypto and PKI Utilities,edu.iu.crypt,WebCryptoHeader.Extension,0,4,0,0,0,4,0,4,0,4
IU Crypto and PKI Utilities,edu.iu.crypt,WebKeyReference,0,4,0,0,0,2,0,2,0,2
IU Crypto and PKI Utilities,edu.iu.crypt,WebCryptoHeader.Param,0,391,0,2,0,46,0,38,0,37
IU Crypto and PKI Utilities,edu.iu.crypt,WebKey.Operation,0,95,0,0,0,16,0,6,0,6
IU Crypto and PKI Utilities,iu.crypt,JwkBuilder,0,634,0,39,0,118,0,47,0,25
IU Crypto and PKI Utilities,iu.crypt,Jwe.AesCbcHmac,0,266,0,2,0,46,0,9,0,8
IU Crypto and PKI Utilities,iu.crypt,JoseBuilder,0,111,0,4,0,22,0,14,0,12
IU Crypto and PKI Utilities,iu.crypt,Jwe,0,1027,0,78,0,196,0,75,0,36
IU Crypto and PKI Utilities,iu.crypt,EncodingUtils,0,201,0,10,0,36,0,11,0,6
IU Crypto and PKI Utilities,iu.crypt,JwsSignedPayload,0,100,0,8,0,29,0,10,0,6
IU Crypto and PKI Utilities,iu.crypt,UnsignedBigInteger,0,49,0,2,0,11,0,6,0,5
IU Crypto and PKI Utilities,iu.crypt,CertificateReferenceBuilder,0,46,0,0,0,7,0,7,0,7
IU Crypto and PKI Utilities,iu.crypt,JweRecipient,0,521,0,34,0,96,0,30,0,13
IU Crypto and PKI Utilities,iu.crypt,JsonKeyReference,0,104,0,10,0,19,0,13,0,8
IU Crypto and PKI Utilities,iu.crypt,Jwk,0,1030,3,56,0,165,3,78,0,51
IU Crypto and PKI Utilities,iu.crypt,UnpaddedBinary.new Iterator() {...},0,71,0,10,0,12,0,8,0,3
IU Crypto and PKI Utilities,iu.crypt,JweRecipientBuilder,0,93,0,6,0,21,0,9,0,6
IU Crypto and PKI Utilities,iu.crypt,Jose,0,351,0,38,0,66,0,40,0,21
IU Crypto and PKI Utilities,iu.crypt,JweRecipientBuilder.EncryptedKeyBuilder,0,395,0,10,0,77,0,18,0,11
IU Crypto and PKI Utilities,iu.crypt,Jws,0,322,0,26,0,58,0,28,0,14
IU Crypto and PKI Utilities,iu.crypt,JsonCertificateReference,0,201,0,20,0,35,0,25,0,15
IU Crypto and PKI Utilities,iu.crypt,JwsBuilder.PendingSignature,0,88,0,10,0,16,0,9,0,4
IU Crypto and PKI Utilities,iu.crypt,UnpaddedBinary,0,110,0,26,0,27,0,23,0,9
IU Crypto and PKI Utilities,iu.crypt,JwsBuilder,0,417,0,18,0,85,0,29,0,19
IU Crypto and PKI Utilities,iu.crypt,KeyReferenceBuilder,0,16,0,0,0,3,0,3,0,3
IU Crypto and PKI Utilities,iu.crypt,JweBuilder,0,270,0,22,0,52,0,21,0,10
