GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU HTTP Client Utilities,iu.client,JsonAdapters,0,621,0,170,0,154,0,94,0,9
IU HTTP Client Utilities,iu.client,DateJsonAdapter,0,83,0,8,0,21,0,8,0,4
IU HTTP Client Utilities,iu.client,TextJsonAdapter,0,51,0,12,0,14,0,10,0,4
IU HTTP Client Utilities,iu.client,TimeZoneJsonAdapter,0,40,0,4,0,10,0,5,0,3
IU HTTP Client Utilities,iu.client,CollectionAdapter,0,24,0,0,0,7,0,3,0,3
IU HTTP Client Utilities,iu.client,BasicJsonAdapter,0,228,0,44,0,56,0,26,0,4
IU HTTP Client Utilities,iu.client,EnumerationAdapter,0,13,0,0,0,4,0,3,0,3
IU HTTP Client Utilities,iu.client,OptionalJsonAdapter,0,29,0,2,0,8,0,5,0,4
IU HTTP Client Utilities,iu.client,EnumerationAdapter.new Enumeration() {...},0,22,0,0,0,4,0,3,0,3
IU HTTP Client Utilities,iu.client,NumberAdapter,0,182,0,8,0,27,0,14,0,10
IU HTTP Client Utilities,iu.client,ParsingJsonAdapter,0,66,0,6,0,19,0,8,0,5
IU HTTP Client Utilities,iu.client,JsonProxy,0,247,0,32,0,55,0,22,0,6
IU HTTP Client Utilities,iu.client,StreamAdapter,0,16,0,0,0,4,0,3,0,3
IU HTTP Client Utilities,iu.client,JsonObjectAdapter,0,81,0,10,0,17,0,8,0,3
IU HTTP Client Utilities,iu.client,Vault.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU HTTP Client Utilities,iu.client,ArrayAdapter,0,19,0,0,0,5,0,3,0,3
IU HTTP Client Utilities,iu.client,IteratorAdapter,0,9,0,0,0,4,0,3,0,3
IU HTTP Client Utilities,iu.client,BooleanJsonAdapter,0,70,0,18,0,15,0,13,0,4
IU HTTP Client Utilities,iu.client,JsonArrayAdapter,0,61,0,8,0,15,0,8,0,4
IU HTTP Client Utilities,iu.client,VaultKeyedValue,0,95,0,10,0,19,0,13,0,8
IU HTTP Client Utilities,iu.client,BinaryJsonAdapter,0,27,0,4,0,9,0,5,0,3
IU HTTP Client Utilities,iu.client,Vault,0,808,1,65,0,164,1,69,0,37
IU HTTP Client Utilities,iu.client,IterableAdapter,0,9,0,0,0,4,0,3,0,3
IU HTTP Client Utilities,iu.client,VaultSecret,0,121,0,4,0,27,0,12,0,10
IU HTTP Client Utilities,iu.client,CalendarJsonAdapter,0,32,0,4,0,10,0,5,0,3
IU HTTP Client Utilities,edu.iu.client,IuJsonAdapter.new IuJsonAdapter() {...},0,20,0,0,0,3,0,3,0,3
IU HTTP Client Utilities,edu.iu.client,IuJsonAdapter.new IuJsonAdapter() {...},0,15,0,0,0,3,0,3,0,3
IU HTTP Client Utilities,edu.iu.client,IuJsonAdapter.new IuJsonAdapter() {...},0,16,0,0,0,3,0,3,0,3
IU HTTP Client Utilities,edu.iu.client,IuHttp,0,348,0,24,0,68,0,31,0,19
IU HTTP Client Utilities,edu.iu.client,IuJsonAdapter,0,49,0,0,0,10,0,11,0,11
IU HTTP Client Utilities,edu.iu.client,HttpException,0,25,0,0,0,10,0,4,0,4
IU HTTP Client Utilities,edu.iu.client,IuVault,0,11,0,0,0,3,0,3,0,3
IU HTTP Client Utilities,edu.iu.client,IuJsonBuilder,0,98,0,2,0,16,0,12,0,11
IU HTTP Client Utilities,edu.iu.client,IuJson,0,234,0,16,0,61,0,45,0,37
