GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU SAML 2.0 Service Provider,iu.auth.saml,SamlSpi,0,19,0,0,0,6,0,4,0,4
IU SAML 2.0 Service Provider,iu.auth.saml,SamlPrincipal,0,205,0,4,0,47,0,15,0,13
IU SAML 2.0 Service Provider,iu.auth.saml,SamlParserPool,0,82,0,0,0,19,0,9,0,9
IU SAML 2.0 Service Provider,iu.auth.saml,SamlResponseValidator,0,464,0,12,0,93,0,21,0,15
IU SAML 2.0 Service Provider,iu.auth.saml,XmlDomUtil,0,292,0,14,0,75,0,21,0,14
IU SAML 2.0 Service Provider,iu.auth.saml,SamlBuilder,0,801,0,26,0,166,0,28,0,15
IU SAML 2.0 Service Provider,iu.auth.saml,SamlServiceProvider,0,404,0,16,0,90,0,32,0,24
IU SAML 2.0 Service Provider,iu.auth.saml,SamlSession,0,315,0,6,0,71,0,14,0,10
IU SAML 2.0 Service Provider,iu.auth.saml,SamlAssertion,0,241,0,12,0,49,0,19,0,13
IU SAML 2.0 Service Provider,iu.auth.saml,IuSubjectConfirmationValidator,0,163,2,20,0,39,2,15,0,6
