GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Web Cryptography Utilities,edu.iu.crypt,EphemeralKeys,0,116,0,8,0,29,0,14,0,10
IU Web Cryptography Utilities,edu.iu.crypt,WebCryptoHeader,0,186,0,26,0,34,0,20,0,7
IU Web Cryptography Utilities,edu.iu.crypt,PemEncoded,0,438,0,32,0,84,0,46,0,30
IU Web Cryptography Utilities,edu.iu.crypt,WebKey,0,709,1,125,0,146,1,92,0,30
IU Web Cryptography Utilities,edu.iu.crypt,WebCertificateReference,0,84,0,16,0,24,0,15,0,7
IU Web Cryptography Utilities,edu.iu.crypt,WebSignedPayload,0,37,0,4,0,12,0,4,0,2
IU Web Cryptography Utilities,edu.iu.crypt,WebKey.Algorithm,0,987,0,0,0,72,0,5,0,5
IU Web Cryptography Utilities,edu.iu.crypt,WebEncryption.Encryption,0,101,0,0,0,15,0,5,0,5
IU Web Cryptography Utilities,edu.iu.crypt,WebEncryption,0,38,0,0,0,8,0,6,0,6
IU Web Cryptography Utilities,edu.iu.crypt,WebSignature,0,5,0,0,0,1,0,1,0,1
IU Web Cryptography Utilities,edu.iu.crypt,WebSignature.Builder,0,12,0,0,0,2,0,2,0,2
IU Web Cryptography Utilities,edu.iu.crypt,WebKey.Type,0,182,0,12,0,29,0,13,0,7
IU Web Cryptography Utilities,edu.iu.crypt,WebKey.Use,0,53,0,0,0,9,0,6,0,6
IU Web Cryptography Utilities,edu.iu.crypt,PemEncoded.new Iterator() {...},0,204,0,20,0,36,0,13,0,3
IU Web Cryptography Utilities,edu.iu.crypt,WebEncryption.Builder,0,12,0,0,0,2,0,2,0,2
IU Web Cryptography Utilities,edu.iu.crypt,WebEncryptionRecipient.Builder,0,15,0,0,0,3,0,3,0,3
IU Web Cryptography Utilities,edu.iu.crypt,PemEncoded.KeyType,0,27,0,0,0,5,0,1,0,1
IU Web Cryptography Utilities,edu.iu.crypt,WebCryptoHeader.Extension,0,4,0,0,0,4,0,4,0,4
IU Web Cryptography Utilities,edu.iu.crypt,WebKeyReference,0,4,0,0,0,2,0,2,0,2
IU Web Cryptography Utilities,edu.iu.crypt,WebCryptoHeader.Param,0,391,0,2,0,46,0,38,0,37
IU Web Cryptography Utilities,edu.iu.crypt,WebKey.Operation,0,95,0,0,0,16,0,6,0,6
IU Web Cryptography Utilities,iu.crypt,JwkBuilder,0,634,0,39,0,118,0,47,0,25
IU Web Cryptography Utilities,iu.crypt,Jwe.AesCbcHmac,0,282,0,4,0,48,0,11,0,9
IU Web Cryptography Utilities,iu.crypt,JoseBuilder,0,111,0,4,0,22,0,14,0,12
IU Web Cryptography Utilities,iu.crypt,Jwe,0,1037,0,80,0,198,0,76,0,36
IU Web Cryptography Utilities,iu.crypt,EncodingUtils,0,201,0,10,0,36,0,11,0,6
IU Web Cryptography Utilities,iu.crypt,JwsSignedPayload,0,100,0,8,0,29,0,10,0,6
IU Web Cryptography Utilities,iu.crypt,UnsignedBigInteger,0,49,0,2,0,11,0,6,0,5
IU Web Cryptography Utilities,iu.crypt,CertificateReferenceBuilder,0,46,0,0,0,7,0,7,0,7
IU Web Cryptography Utilities,iu.crypt,JweRecipient,0,538,0,38,0,100,0,32,0,13
IU Web Cryptography Utilities,iu.crypt,JsonKeyReference,0,104,0,10,0,19,0,13,0,8
IU Web Cryptography Utilities,iu.crypt,Jwk,0,1010,3,56,0,160,3,76,0,49
IU Web Cryptography Utilities,iu.crypt,UnpaddedBinary.new Iterator() {...},0,71,0,10,0,12,0,8,0,3
IU Web Cryptography Utilities,iu.crypt,JweRecipientBuilder,0,93,0,6,0,21,0,9,0,6
IU Web Cryptography Utilities,iu.crypt,Jose,0,351,0,38,0,66,0,40,0,21
IU Web Cryptography Utilities,iu.crypt,JweRecipientBuilder.EncryptedKeyBuilder,0,395,0,10,0,77,0,18,0,11
IU Web Cryptography Utilities,iu.crypt,Jws,0,591,0,66,0,120,0,52,0,17
IU Web Cryptography Utilities,iu.crypt,JsonCertificateReference,0,201,0,20,0,35,0,25,0,15
IU Web Cryptography Utilities,iu.crypt,JwsBuilder.PendingSignature,0,88,0,10,0,16,0,9,0,4
IU Web Cryptography Utilities,iu.crypt,UnpaddedBinary,0,58,0,10,0,14,0,12,0,7
IU Web Cryptography Utilities,iu.crypt,JwsBuilder,0,421,0,18,0,85,0,29,0,19
IU Web Cryptography Utilities,iu.crypt,KeyReferenceBuilder,0,16,0,0,0,3,0,3,0,3
IU Web Cryptography Utilities,iu.crypt,JweBuilder,0,270,0,22,0,52,0,21,0,10
