GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU SAML 2.0 Service Provider,iu.auth.saml,SamlSpi,0,11,0,0,0,5,0,3,0,3
IU SAML 2.0 Service Provider,iu.auth.saml,SamlPrincipal,0,184,0,16,0,42,0,21,0,13
IU SAML 2.0 Service Provider,iu.auth.saml,SamlParserPool,0,82,0,0,0,19,0,9,0,9
IU SAML 2.0 Service Provider,iu.auth.saml,SamlSessionVerifier,0,177,0,6,0,43,0,8,0,5
IU SAML 2.0 Service Provider,iu.auth.saml,SamlResponseValidator,0,470,0,12,0,95,0,21,0,15
IU SAML 2.0 Service Provider,iu.auth.saml,SamlBuilder,0,814,0,26,0,169,0,29,0,16
IU SAML 2.0 Service Provider,iu.auth.saml,XmlDomUtil,0,292,0,14,0,75,0,21,0,14
IU SAML 2.0 Service Provider,iu.auth.saml,SamlServiceProvider,0,404,0,16,0,90,0,32,0,24
IU SAML 2.0 Service Provider,iu.auth.saml,SamlAssertion,0,156,0,12,0,32,0,14,0,8
IU SAML 2.0 Service Provider,iu.auth.saml,IuSubjectConfirmationValidator,0,163,2,20,0,39,2,15,0,6
