GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Type Introspection Implementation Module,iu.type,ArchiveSource,0,252,0,30,0,62,0,24,0,9
IU Type Introspection Implementation Module,iu.type,ComponentResourceReference,0,253,0,36,0,54,0,29,0,11
IU Type Introspection Implementation Module,iu.type,TypeFactory.new Record() {...},0,9,0,0,0,1,0,1,0,1
IU Type Introspection Implementation Module,iu.type,PropertyFacade,0,204,0,10,0,41,0,19,0,14
IU Type Introspection Implementation Module,iu.type,ComponentResource,0,269,0,30,0,60,0,32,0,17
IU Type Introspection Implementation Module,iu.type,ParameterizedFacade,0,6,0,0,0,1,0,1,0,1
IU Type Introspection Implementation Module,iu.type,MethodFacade,0,117,0,12,0,22,0,14,0,8
IU Type Introspection Implementation Module,iu.type,AnnotationBridge,0,165,0,18,0,42,0,14,0,5
IU Type Introspection Implementation Module,iu.type,ParameterFacade,0,55,0,2,0,14,0,8,0,7
IU Type Introspection Implementation Module,iu.type,TypeFacade,0,189,0,0,0,42,0,33,0,33
IU Type Introspection Implementation Module,iu.type,ParameterizedElement,0,179,0,24,0,46,0,18,0,6
IU Type Introspection Implementation Module,iu.type,ElementBase,0,62,0,6,0,19,0,8,0,5
IU Type Introspection Implementation Module,iu.type,TypeFactory.new Object() {...},0,6,0,0,0,3,0,1,0,1
IU Type Introspection Implementation Module,iu.type,DeclaredElementBase,0,46,0,4,0,13,0,5,0,3
IU Type Introspection Implementation Module,iu.type,ComponentModuleFinder,0,109,0,12,0,23,0,10,0,4
IU Type Introspection Implementation Module,iu.type,TypeTemplate,0,977,1,115,0,191,1,108,0,51
IU Type Introspection Implementation Module,iu.type,ComponentFactory,0,386,0,40,0,72,0,30,0,10
IU Type Introspection Implementation Module,iu.type,ComponentArchive.ScannedAttributes,0,21,0,0,0,1,0,1,0,1
IU Type Introspection Implementation Module,iu.type,ComponentModuleFinder.Ref,0,53,0,8,0,17,0,7,0,3
IU Type Introspection Implementation Module,iu.type,ComponentVersion,0,533,2,72,0,108,2,50,0,15
IU Type Introspection Implementation Module,iu.type,ComponentTarget,0,57,0,2,0,13,0,4,0,3
IU Type Introspection Implementation Module,iu.type,ComponentArchive,0,658,0,128,0,148,0,71,0,7
IU Type Introspection Implementation Module,iu.type,ComponentEntry,0,116,0,14,0,30,0,15,0,8
IU Type Introspection Implementation Module,iu.type,ExecutableBase,0,201,0,14,0,46,0,15,0,8
IU Type Introspection Implementation Module,iu.type,TypeUtils,0,209,0,30,0,54,0,21,0,6
IU Type Introspection Implementation Module,iu.type,TypeFactory,0,496,0,60,0,112,0,40,0,10
IU Type Introspection Implementation Module,iu.type,FieldFacade,0,119,0,10,0,21,0,14,0,9
IU Type Introspection Implementation Module,iu.type,BackwardsCompatibility,0,48,0,4,0,14,0,4,0,2
IU Type Introspection Implementation Module,iu.type,Component,0,851,0,80,0,184,0,66,0,26
IU Type Introspection Implementation Module,iu.type,TypeSpi,0,21,0,0,0,5,0,4,0,4
IU Type Introspection Implementation Module,iu.type,PathEntryScanner,0,180,1,25,0,36,1,16,0,4
IU Type Introspection Implementation Module,iu.type,TypeFacade.new Runnable() {...},0,96,0,4,0,18,0,6,0,4
IU Type Introspection Implementation Module,iu.type,TypeReference,0,291,0,32,0,62,0,28,0,12
IU Type Introspection Implementation Module,iu.type,AnnotatedElementBase,0,79,0,10,0,23,0,11,0,6
IU Type Introspection Implementation Module,iu.type,PotentiallyRemoteAnnotationHandler,0,260,0,32,0,43,0,26,0,10
IU Type Introspection Implementation Module,iu.type,ConstructorFacade,0,66,2,6,0,13,2,6,0,4
