GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Expression Language Utilities,edu.iu.util.el,El.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
IU Expression Language Utilities,edu.iu.util.el,ElWithJsonPointer,0,651,3,97,0,167,3,59,0,5
IU Expression Language Utilities,edu.iu.util.el,El.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
IU Expression Language Utilities,edu.iu.util.el,El,0,668,3,99,0,168,3,60,0,5
IU Expression Language Utilities,edu.iu.util.el,El.new ThreadLocal() {...},0,5,0,0,0,2,0,2,0,2
IU Expression Language Utilities,edu.iu.util.el,ElWithJsonPointer.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
IU Expression Language Utilities,edu.iu.util.el,ElWithJsonPointer.new ThreadLocal() {...},0,7,0,0,0,2,0,2,0,2
IU Expression Language Utilities,edu.iu.util.el,ElWithJsonPointer.new ThreadLocal() {...},0,5,0,0,0,2,0,2,0,2
IU Expression Language Utilities,edu.iu.util.el,ElContext.TemplateExpression,0,9,0,0,0,4,0,1,0,1
IU Expression Language Utilities,edu.iu.util.el,ElContext,0,665,5,103,0,151,5,75,0,26
IU Expression Language Utilities,edu.iu.util.el,ElContext.Template,0,238,7,37,0,57,7,17,0,2
